panel,drug,auc,lo,hi,n_act
KIR,Repotrectinib,0.6340254048432625,0.5691054293594487,0.6989453803270763,106
KIR,Ripretinib,0.6904829210836277,0.6185752715790857,0.7623905705881698,75
KIR,Ruxolitinib,0.695349484823169,0.5669347730523099,0.8237641965940282,21
KIR,Selpercatinib,0.5027308838133069,0.4182850977634385,0.5871766698631753,53
KIR,Selumetinib,0.9243697478991597,0.5646516108092525,1.284087884989067,1
KIR,Tenalisib,0.66280276816609,0.5185110194962257,0.8070945168359542,17
KIR,Trametinib,0.9792243767313019,0.8399757601638194,1.1184729932987845,2
KIR,Tucatinib,0.6050420168067226,0.015415721821037787,1.1946683117924075,1
KIR,Umbralisib,0.6798816568047338,0.5473572859651984,0.8124060276442692,20
KIR,Upadacitinib,0.6111245076762318,0.5126063648696348,0.7096426504828288,39
KIR,Vemurafenib,0.6832320052111606,0.6044241720012783,0.7620398384210428,61
KIR,Zanubrutinib,0.9363562091503268,0.8575677752729576,1.015144643027696,18
PKIS2,AH20685,0.4830729166666667,0.15859683465256663,0.8075489986807667,3
PKIS2,AH2635,0.19154135338345865,0.07133851525005033,0.31174419151686694,7
PKIS2,AH5015,0.612826899128269,0.48445819423960945,0.7411956040169286,22
PKIS2,GI230329,0.5510334540805455,0.4334068701550832,0.6686600380060078,26
PKIS2,GI261590,0.6915739268680445,0.5491855990091947,0.8339622547268943,17
PKIS2,GI261656,0.7835227272727273,0.6911739668220476,0.8758714877234071,35
PKIS2,GI262866,0.6721513780337309,0.5084570041322863,0.8358457519351755,13
PKIS2,GI98581,0.6948655606407322,0.560199989334996,0.8295311319464684,19
PKIS2,GSK1014915,0.6636248852157943,0.5416318611347308,0.7856179092968578,24
PKIS2,GSK1024304,0.5052631578947369,0.28845721208011144,0.7220691037093623,7
PKIS2,GSK1024306,0.5665628891656289,0.43877680550665576,0.6943489728246021,22
PKIS2,GSK1034945,0.5970381659157169,0.5040474926021242,0.6900288392293096,44
PKIS2,GSK1122999,0.5803870043000477,0.45494442497986354,0.705829583620232,23
PKIS2,GSK1229496,0.5404174015285126,0.3452741838589333,0.7355606191980919,9
PKIS2,GSK1229782,0.6849383207321926,0.5726082136451306,0.7972684278192547,28
PKIS2,GSK1269851,0.5117307692307692,0.4385507366057873,0.5849108018557512,75
PKIS2,GSK1287544,0.5878078465063001,0.5204714678418942,0.655144225170706,96
